classe,article
sport,"La sélection marocaine de football a perdu face à son homologue des Etats Unis sur le score de 3 buts à 0 (mi-temps 0-2), mercredi en match amical au TQL Stadium à Cincinnati, aux Etats Unis.

Les buts de la rencontre ont été marqués par Aaronson Brenden (26è), Tim Weah (32è) et Haji Wright (64è, s.p.). Selim Amallah a raté un pénalty pour les Lions de l’Atlas (76è).

Cette rencontre s’inscrit dans le cadre des préparatifs de l’équipe nationale pour le Mondial Qatar-2022.

Elle précède aussi pour la sélection marocaine le coup d’envoi des éliminatoires de la Coupe d’Afrique des Nations 2023, respectivement face à l’Afrique du Sud, le 9 juin à Rabat, et le Libéria, le 13 juin à Casablanca.
"
sport,"L’équipe de football d’Ukraine a offert une petite bouffée d’espoir à son pays en guerre en battant l’Écosse (3-1) mercredi en demi-finale des barrages pour la Coupe du monde 2022.

Les jaunes et bleu ne sont plus qu’à 90 minutes, ou plus s’il y a une prolongation, voire des tirs au but, du Qatar, mais il faudra, pour s’y rendre, battre le pays de Galles à Cardiff, dimanche.

Sur ce qu’on a vu à l’Hampden Park de Glasgow, il y a des raisons d’y croire, tant les Ukrainiens ont semblé supérieurs à des Écossais globalement passés à côté de ce grand rendez-vous, malgré un but qui leur a redonné espoir à 10 minutes de la fin.

L’émotion avait déjà été palpable lors des conférences de presse d’avant-match, mardi, à l’image des larmes du latéral de Manchester City, Oleksander Zinchenko.

L’hymne ukrainien, juste avant le coup d’envoi, avait donné le ton d’une soirée forcément à part. Enveloppés dans le drapeau de leur pays, les joueurs urkainiens avaient chanté de tout leur cœur, accompagnés par de nombreux supporters dans les tribunes dont beaucoup agitaient des drapeaux ou des pancartes appelant à la paix.

Mais une fois le coup d’envoi donné, les joueurs d’Oleksandr Petrakov ont pourtant bien eu la tête au terrain, alors que leurs adversaires ont semblé paralysés par l’enjeu.

Après plusieurs parades héroïques de Craig Gordon, les Ukrainiens ont logiquement ouvert le score par Andriy Yarmolenko, parti à la limite du hors-jeu.

– Les Ukrainiens réalistes –
L’attaquant laissé libre par West Ham il y a quelques jours, à la fin de son contrat, a parfaitement contrôlé le ballon à l’entrée de la surface et magnifiquement dosé son lob au-dessus du portier pour refroidir l’Hampden Park (0-1, 33e).

Au retour des vestiaires, on attendait la réaction des locaux qui avaient promis de ne pas se laisser ramollir par leur empathie envers la situation de leurs hôtes.

Mais ce sont les Ukrainiens qui ont enfoncé le clou, Roman Yaremchuk reprenant habilement de la tête un centre pour doubler la mise (0-2, 49e).

Les Écossais ont fini par se rebeller, mais trop maladroitement.

John McGinn a inexplicablement raté le cadre sur une tête à 6 mètres, avant de voir sa reprise contrée, après une première frappe de Che Adams repoussée par Georgi Bushchan (76e).

Le même Bushchan n’a pas été exempt de tout reproche en ayant la main pas très ferme sur une frappe de Conor McGregor qui a un temps ranimé l’espoir des Ecossais (1-2, 79e).

Mais les assauts désespérés sur le but des Ukrainiens, lors des dernières minutes, ont été bien trop désordonnés et sont restés globalement peu dangereux.

Après avoir mal négocié quelques contres prometteurs, les Ukrainiens ont fini par tuer le match grâce à Artem Dovbyk, parti à la limite du hors-jeu pour clore la marque (1-3, 90+4).

Les Ecossais vont voir se prolonger de quatre ans leur attente depuis leur dernier Mondial en 1998, alors qu’au coeur de la guerre contre les envahisseurs russes, les Ukrainiens se sont offerts une nouvelle petite étincelle d’espoir et de rêve, dans quatre jours, à Cardiff.
"
sport,"L’Argentine de Lionel Messi, tenante de la Copa America, a remporté haut la main le duel de gala contre les Italiens champions d’Europe (3-0), mercredi à Londres, privant Giorgio Chiellini d’une belle conclusion pour sa 117e et dernière apparition en Azzurro.

« Chiello » aurait espéré une sortie de scène plus à la hauteur de ses états de service. Mais le vétéran italien de 37 ans a fait son âge face à la technique et la vivacité des attaquants argentins, pas venus pour lui faire des cadeaux pour son départ en retraite.

Sur le premier but, le capitaine azzurro a été battu en vivacité par Lautaro Martinez, oublié dans les six mètres après un coup de rein décisif de Messi à gauche (28e). Sur le second, il a été battu à la course par Di Maria lancé dans l’axe (45e+1).

Et il n’est pas réapparu après la pause, laissant définitivement la Nazionale pour une seconde période à sens unique en faveur de l’Argentine, totalement dominatrice. L’Italie est elle apparue à l’image de son capitaine ballotté: jamais en mesure de faire jeu égal avec l’Albiceleste.

L’Argentine remporte pour la deuxième fois – en trois éditions – ce trophée intercontinental après son succès en 1993 contre le Danemark (1-1 a.p;, 5 tirs au but à 4). La France avait remporté la première édition en 1985 contre l’Uruguay (2-0).

Réponse à Mbappé
L’équipe de Lionel Scaloni, invaincue depuis 32 matches consécutifs, a fait le plein de confiance à moins de six mois du Mondial-2022 au Qatar (21 novembre-18 décembre) où elle rencontrera au premier tour l’Arabie saoudite, le Mexique et la Pologne.

En dominant les champions d’Europe, même bien pâles par rapport à l’équipe qui avait séduit lors de l’Euro-2020, Messi et ses partenaires donnent au passage une petite réponse à Kylian Mbappé.

L’attaquant vedette des Bleus avait agacé quelques Argentins en estimant que le football sud-américain n’était « pas aussi avancé » que celui du Vieux Continent, faute de pouvoir, pour ses joueurs, disputer des « matches de haut niveau tout le temps ».

Sur la pelouse de Wembley, moins d’un an après les « Nuits magiques » conclues par un sacre contre l’Angleterre, c’est pourtant bien le champion d’Europe qui a été dépassé, à part une première demi-heure assez équilibrée.

Le moral toujours entamé par le fiasco du barrage perdu contre la Macédoine du Nord (0-1), en mars, qui la prive de Coupe du monde pour la deuxième fois de suite, la Nazionale de Roberto Mancini a couru après le ballon, sans idées et sans jambes.

– Points d’interrogation –
Gianluigi Donnarumma en a été réduit à faire ce qu’il a pu en seconde période pour éviter que l’Argentine ne marque deux ou trois buts de plus, ce qui n’aurait peut-être pas été usurpé.

« Gigio » a notamment eu le droit à un « entraînement personnel » offert par ses coéquipiers cette saison au Paris SG, Di Maria (60e, 62e) et Messi (65e, 67e, 69e).

Le portier, meilleur joueur de l’Euro l’été dernier, a aussi évité d’un rien un but-gag en arrêtant juste devant sa ligne une passe en retrait ratée de Bonucci (56e).

Il ne s’est finalement incliné à nouveau, pour le 3-0, que dans le temps additionnel sur une frappe du rentrant Paulo Dybala (90e+4).

Une soirée à oublier pour Roberto Mancini et ses joueurs, la parenthèse enchantée de l’Euro étant bel et bien refermée.

Après cette soirée de gala, le sélectionneur resté aux commandes malgré le fiasco macédonien va lancer une nouvelle reconstruction à partir de samedi contre l’Allemagne, à Bologne, en Ligue des Nations. Sans Chiellini, mais avec des points d’interrogation majuscules.
"
sport,"Vahid Halilhodzic a dévoilé sa liste de joueurs convoqués avec quelques surprises, notamment le retour des « bannis », à savoir Noussair Mazraoui ou encore Amine Harit. Après avoir constitué un groupe homogène qui s’est qualifié à la Coupe du monde 2022, le coach de l’équipe nationale cherche à renforcer ses troupes avec des joueurs qui ont brillé avec leurs clubs. Ces retours tant attendus feront-ils la différence pour les prochaines rencontres ?

Privée de Noussair Mazraoui et d’Amine Harit depuis presque de deux ans, la sélection marocaine pourra compter sur ses deux joueurs majeurs pour le prochain rassemblement. Vahid Halilhodzic et les anciens bannis ont visiblement mis leurs différends de côté.

Ecarté de la sélection pour des divergences avec son sélectionneur Vahid Halilodzic, le nouveau latéral droit du Bayern Munich, Noussair Mazraoui a été rappelé dans le groupe, tout comme le marseillais Amine Harit et Adel Taarabt.

Plus d’un an après l’incident entre Mazraoui et l’entraîneur Vahid lié à une bouteille d’eau que le défenseur avait refusé de boire, car il n’avait pas soif, les deux hommes se sont rencontrés à Amsterdam pour évoquer un éventuel retour en sélection. Des photos du nouvel arrière latéral du Bayern Munich et de Halilhodzic posant avec le drapeau et une bouteille d’eau suggéraient un possible retour en sélection, désormais acté.

« Avec Mazraoui, on a échangé sur beaucoup de choses notamment pour son choix du Bayern Munich. Je lui ai aussi donné de l’eau pour voir s’il allait boire. Je suis très content pour lui. C’est un bon choix. J’espère qu’on profitera de son nouveau statut », avait-il déclaré en conférence de presse mercredi.

Autres tensions, celles entre l’ancien technicien nantais et Amine Harit. Boudés par l’entraîneur Vahid pour des raisons disciplinaires, les deux hommes ont réglé leurs comptes en début de saison par le biais de conférences de presse. Le joueur de l’OM revient un an et demi après sa dernière apparition avec le Maroc.

Si les tensions entre l’entraîneur du Maroc avec Harit et Mazraoui semblent être de l’histoire ancienne, celles avec Hakim Ziyech sont toujours d’actualité.

Le Bosniaque s’était fâché avec l’ailier de Chelsea en 2021 : « Son comportement lors des deux derniers rassemblements, surtout le dernier, ne correspond pas à celui d’un joueur de l’équipe nationale qui doit être porteur de choses positives, comme un dirigeant. Il est arrivé en retard et après il a même refusé de travailler. (…) Inutile de discuter après, pour le coach, la réponse est là. L’équipe nationale est au-dessus de tout, personne ne peut la prendre en otage », avait-il déclaré.

Non convoqué depuis juin 2021, Ziyech a fait savoir qu’il ne souhaitait plus remettre les pieds en sélection, et en a remis une couche plus récemment. « Vous ne devriez pas vous foutre de moi. Je ne jouerai plus jamais sous les ordres de cet entraîneur. Quoi que fasse cet entraîneur national, qu’il vole haut ou bas, qu’il se tienne sur le pas de ma porte, qu’il veuille dormir avec moi dans le grenier ou dans la cave, je ne jouerai pas pour cet entraîneur national », aurait-il récemment déclaré à ses amis proches.

Sans Ziyech, mais avec Mazraoui, Harit et Taarabt, Vahid Halilhodzic, qui est dans la ligne de mire des supporters, réussira-t-il à renverser la vapeur ?

Le technicien bosniaque a réussi le pari de reformer un groupe solide capable de faire la différence, avec des joueurs qui ont brillé lors des éliminatoires du Mondial à l’image de Sofiane Boufal, récemment victime d’une blessure, Azzedine Ounahi ou encore Tarik Tissoudali.

Le retour de Harit, Mazraoui ou encore Taarabt va-t-il perturber l’équilibre trouvé au sein de la sélection ? Les trois joueurs ont réalisé une belle saison au sein de leurs équipes respectives et représentent un plus pour le groupe, ayant déjà disputé une Coupe du monde en 2018 sous les ordres d’Hervé Renard, à l’excepté du joueur du Bayern Munich qui a participé pour sa part à la Coupe d’Afrique des Nations en 2019.

Pour rappel, les Lions de l’Atlas se rassembleront la semaine prochaine pour entamer les préparatifs de trois matchs, dont un amical et deux éliminatoires de la Coupe d’Afrique des Nations 2023 qui se déroulera en Côte d’Ivoire.

En premier lieu, la sélection marocaine croisera le fer avec celle des Etats-Unis dans le cadre d’un match amical en marge des préparatifs pour la Coupe du monde 2022 au Qatar. La rencontre aura lieu le 1er juin 2022, au stade TQL de Cincinnati, Ohio.

Le Maroc est logé le groupe F avec la Belgique, la Croatie et le Canada. Le Maroc affrontera lors de son premier match la Croatie, vice-championne du monde en titre (Russie-2018), avant de jouer contre la Belgique puis le Canada, lors de la Coupe du monde de football organisée au Qatar du 21 novembre au 18 décembre 2022.

Pour ce qui est des éliminatoires de la CAN 2023, les hommes de Vahid Halilhodzic auront une première rencontre à disputer avec l’équipe de l’Afrique du Sud, le jeudi 09 juin 2022 au Complexe Sportif Prince Moulay Abdallah à Rabat.

Le match du deuxième tour des mêmes éliminatoires entre les Lions de l’Atlas et l’équipe nationale libérienne aura lieu sur la pelouse du Complexe sportif Mohammed V à Casablanca, le lundi 13 juin 2022.

Pour rappel, les Lions de l’Atlas sont logés dans le groupe K, aux côtés du Libéria, mais également du Zimbabwe et de l’Afrique du Sud.
"
sport,"Le Raja de Casablanca a annoncé mercredi qu’une assemblée générale élective se tiendra le 16 juin afin d’élire un nouveau bureau dirigeant suite à la démission de l’actuel bureau du club à la fin de la saison.

Un communiqué du club indique que la date et le lieu de cette assemblée générale élective seront révélés ultérieurement.

La programmation de ce rendez-vous répond à la volonté de donner sa chance à une nouvelle équipe dirigeante pour préparer la saison prochaine, a ajouté la même source.

Dans un précédent communiqué, le Raja de Casablanca a détaillé les conditions de candidature pour le poste de dirigeant du club.
"
sport,"Alors que d’aucuns s’attendaient à défection du Royaume, c’est officiel, nous dit l’ami et confident très à la pointe des échos de l’actualité surtout pour ce qui se passe chez les voisins de l’Est, « Le Maroc a confirmé sa participation aux Jeux Méditerranéens 2022 qui se dérouleront à Oran. Mais la logistique nécessaire nous oblige à une véritable gymnastique et nous avons dû recalculer tout le budget pour cette participation ».

Mais qu’à cela ne tienne ! Le Royaume, selon notre source, sera bel et bien présent avec les 25 autres pays, et ce malgré le surcoût financier que cela engendre pour faire flotter le drapeau national. Le Comité National Olympique Marocain (CNOM) en prévision de la participation marocaine est, au demeurant pour la cause nationale, à pied d’œuvre. Il serait en pourparlers constants et appuyés avec le comité d’organisation “Oran 2022 “pour l’enregistrement des athlètes marocains, de leur encadrement technique et médical et des différentes Fédérations Royales Marocaines et des différentes disciplines qui participeront à ces Jeux Méditerranéens 2022 d’Oran qui se dérouleront ou qui sont prévus du 25 juin au 06 juillet 2022.

Notre source ajoute que cependant le CNOM qui a reçu des instructions fermes pour une participation effective faisant abstraction à toute considération non sportive reconnait, « des conditions logistiques particulières au déplacement en Algérie, et ce en raison de la fermeture des frontières terrestres et aériennes avec l’Algérie ». Un délégué du CNOM se trouve actuellement à Oran pour un repérage et une identification des conditions de séjour des athlètes nationaux qui seront logés à la même enseigne si l’on peut dire, au village olympique avec les autres participants.

Nul doute que la décision de la participation du Royaume aux JM 2022 d’Oran s’inscrit dans le cadre de la politique de la main tendue. Le Maroc n’a pas dévié et est fidèle à la volonté Royale, se veut toujours dans l’esprit des deux discours du Roi Mohammed VI de « la main tendue » justement. Cela étant, le CNOM dans le but d’inciter les Fédérations à retenir les meilleurs sportifs marocains pour ces Jeux, a défini des conditions de participation qui tiennent compte du classement mondial et africain, ainsi que du projet sportif présenté par les directions techniques nationales.

Aussi le choix de l’encadrement technique, du programme de préparation et des sportifs marocains revient exclusivement aux Fédérations Royales Marocaines concernées. Le CNOM pour sa part propose par contre son soutien et son accompagnement afin d’améliorer les conditions de préparation des meilleurs sportifs marocains. Pour ce faire, il débloquera des budgets additionnels, voire parfois exceptionnels, et personnalisera les projets sportifs, à travers des conventions spécifiques à ces Jeux.

Des jeux, qui signe des temps, ont placé aujourd’hui dans la discipline reine du football, le Maroc et l’Algérie dans le même groupe A avec la France et l’Espagne. Les Lionceaux de l’Atlas et les Fennecs U18 ouvriront le bal. Bonne participation à notre délégation c’est tout le mal que l’on peut souhaiter à nos sportifs des fois qu’on nous dénigrerait au premier ratage organisationnel ou autre.
"
sport,"Le sélectionneur du Maroc, Vahid Halilhodzic, a affirmé que le match amical des Lions de l’Atlas, prévu jeudi 2 juin, face aux États-Unis, est un « vrai test » en vue de préparer les prochaines échéances, en particulier le Mondial au Qatar.

Lors d’une conférence de presse, mercredi à Cincinnati, Coach Wahid a indiqué que « ce match va nous permettre de nous préparer à affronter le Canada. Les deux équipes ont la même approche footballistique. Ce n’est pas pour rien qu’ils (ndlr: les USA) sont quinzième dans le classement FIFA, ce sera pour nous un vrai test ».

Tout en se félicitant de la « bonne ambiance et de l’état d’esprit » qui règne au sein de l’équipe, le technicien bosniaque a évoqué les difficultés pour convoquer les joueurs pour des matchs internationaux après une longue saison.

« ll y a de grosses difficultés, étant donné que les joueurs n’auront qu’une semaine de repos avant la compétition. J’ai dit aux joueurs que c’était leur aventure, et c’est à eux de se préparer pour être physiquement au top », a-t-il dit, ajoutant: « Il y a beaucoup d’incertitudes, notamment à cause des blessures. Mais je compte privilégier les joueurs qui ont le plus de temps de jeu et de compétition pour la liste de la Coupe du Monde ».

Abondant dans le même sens, le capitaine des Lions de l’Atlas, Roman Saïss, a déclaré que « l’ambiance est bonne forcément, même si on sait que la période de matchs internationaux en fin de saison est toujours un peu compliquée parce qu’il y a eu beaucoup de matchs, beaucoup de fatigue, mentale aussi, et de blessures ».

S’agissant de l’enjeu du match face à Team USA, il a indiqué que c’est une rencontre pour « se préparer à la Coupe du monde, c’est une source de motivation ». Interrogé sur l’historique des rencontres entre le Maroc face aux Etats-Unis, – trois victoires pour l’équipe nationale en autant de rencontres amicales-, le coach du Maroc a fait remarquer que le football américain a « tellement progressé ».

« S’ils sont aujourd’hui quinzièmes, moi je comprends, parce que la plupart des joueurs américains évoluent dans les plus grands clubs d’Europe », a-t-il relevé, soulignant qu’il s’agit d’une « équipe avec énormément de qualités individuelles et collectives, avec l’application du football moderne, un volume de déplacement énorme, tout le monde court beaucoup. Ils ont beaucoup de qualités physiques, ce sera vraiment un test énorme pour nous ».

« Pour moi, la Coupe du monde commence dès demain. Un mondial ça se prépare six mois au minimum », a insisté Vahid, avant de noter qu’au Mondial, « on n’est pas favoris, on est tombé dans un groupe très difficile, mais on va chercher l’exploit ».

Tant le coach national que le capitaine de l’équipe ont tenu, par ailleurs, à féliciter le WAC et la Renaissance de Berkane pour leurs sacres au niveau continental.

« Je pense que ça été une très belle année pour le football marocain, avec deux titres continentaux, en plus de notre qualification à la Coupe du monde. C’est des choses qui sont importantes pour le foot marocain. Mais il faut se dire que c’est juste une étape et qu’il faut continuer à travailler et garder cette culture de vouloir gagner chaque année un trophée », a dit Roman Saïss.

A noter que cinq internationaux marocains manqueront cette rencontre. Il s’agit de Noussair Mazraoui, l’arrière latéral droit du Bayern Munich, en raison d’une blessure, Achraf Hakimi absent pour un « congé spécial », Zakaria Abou Khlal engagé en play-offs de la Ligue Europa avec son club de l’AZ Alkmaar, Jawad El Yamiq, qui lui reste une rencontre de Liga 2 à disputer te cruciale pour son équipe, alors que Yahya Attiat Allah, n’a pas fait le déplacement en raison de la finale de la Ligue des Champions Afrique, disputée et remportée lundi par son club, le Wydad Casablanca.
"
sport,"L’équipe nationale des joueurs locaux effectuera deux stages de préparation durant le mois de juin au Complexe Mohammed VI de football à Maâmora, indique mardi la Fédération royale marocaine de football (FRMF).

Le premier stage se tiendra du 1er au 6 juin, tandis que le second aura lieu du 08 au 14 du même mois, écrit la FRMF sur son site web.

A cette occasion, 24 joueurs ont été convoqués par le sélectionneur national Houcine Ammouta pour prendre part à ces stages.

Voici la liste des joueurs convoqués :

1. Hamid Ahadad (Raja de Casablanca)

2. Marouane Hadhoudi (Raja de Casablanca)

3. Abdellah Khafifi (Mouloudia Oujda)

4. Ismail Khafi (AS FAR)

5. Reda Jaadi (Wydad Casablanca)

6. Hamza Moussaoui (Renaissance Berkane)

7. Abdelkerim Baadi (Renaissance Berkane)

8. Mohamed Nahiri (Raja Casablanca)

9. Saiefeddine Bouherra (Maghreb Fès)

10. Ismail Moutarajji (Wydad Casablanca)

11. Reda Selim (AS FAR)

12. Ayoub El Amloud (Wydad Casablanca)

13. Adam Ennafati (AS FAR)

14. Ayoub Lakrad (AS FAR)

15. Mohammed Zrida (Raja Casablanca)

16. Hamza Regragui (Renaissance Berkane)

17. Mohammed Rabii Hrimat (AS FAR)

18. Charki El Bahri (Renaissance Berkane)

19. Mehdi Meftah (Mouloudia Oujda)

20. Abdelfettah Hadraf (Difaa El Jadida)

21. Yassine Lebhiri (Mouloudia Oujda)

22. Hamza El Hamyani (Renaissance Berkane)

23. Hamza El Janati (Maghreb Fès)

24. El Mehdi Oubila (Renaissance Berkane)
"
sport,"L’international marocain Romain Saiss a annoncé mardi sur les réseaux sociaux sa décision de quitter Wolverhampton, après six ans passées dans le club de Molineux, sans donner d’indication sur sa prochaine destination. Sur un poste Instagram, Saiss a écrit à l’adresse du public des Wolves « le moment que je craignais le plus est arrivé. Le moment de vous dire au revoir après 6 merveilleuses années passées avec vous ».

« Ce fut un honneur et un privilège de porter ces couleurs et de contribuer au succès et au renouveau de ce club », a poursuivi le défenseur de 32 ans. « Merci aux fans pour votre soutien malgré les hauts et les bas, vous avez toujours été derrière moi. Merci aux différentes personnes travaillant au club pour votre gentillesse au quotidien. Merci aux différents staffs techniques et médicaux pour votre travail, pour avoir été un élément important de notre réussite. Enfin, merci à tous les joueurs que je considère comme une famille. Un vestiaire d’hommes exceptionnels que je n’oublierai jamais », a-t-il dit. Saiss avait rejoint Wolverhampton en 2016 pour 3 millions de livres sterling en provenance d’Angers. Il avait été l’une des premières recrues de l’équipe après l’acquisition du club par le conglomérat chinois Fosun.

Figure très appréciée du vestiaire, le joueur compte 206 apparitions pour les Wolves au total. Au terme de la saison écoulée, le club a fini 10e de Premier League avec 51 points.
"
sport,"Après deux semaines de compétition intense, l’équipe Thaïlandaise “Attack All Around” (Attaque Tout Autour) a remporté le championnat Free Fire World Series 2022 (FFWS). Après six chutes intenses, l’équipe est sortie victorieuse et a remporté le prix de 500.000 dollars américains (USD), en plus du trophée du champion. Cette victoire est la deuxième victoire consécutive pour la Thaïlande. L’équipe « EVOS Phoenix« , anciennement connue sous le nom de « Phoenix Force« , a remporté le championnat FFWS 2021 à Singapour l’année dernière.

La région du Moyen-Orient et de l’Afrique du Nord était représentée par les équipes All-Stars et WASK. Bien qu’elles n’aient pas pu gagner le tournoi ou atteindre le podium, elles ont qualifié l’expérience de leur qualification aux éliminations d’incroyable expérience d’apprentissage. Les deux équipes ont en outre affirmé leur aspiration à se qualifier au prochain championnat FFWS, indique dans un communiqué, Garena, l’un des principaux développeurs et éditeurs mondiaux de jeux en ligne.

« La clé du succès est la préparation mentale« , a déclaré l’équipe All-Stars cité par le communiqué et qui est le premier représentant de la région Moyen-Orient et Afrique du Nord, tout en soulignant les différents défis auxquels l’équipe a été confrontée lors des qualifications.

« Cette année, c’était plus difficile pour l’équipe par rapport à l’année dernière. Cette fois nous devions passer la phase supplémentaire de jeu (les qualifications) pour avancer dans le tournoi et atteindre la Finale. Tandis que l’année dernière nous sommes allés directement à la finale« , a déclaré l’équipe.

Ces pressions croissantes provoquées par la compétition ont affecté la stratégie de jeu des All-Stars et ils n’ont pas pu atteindre la Finale. Mais ils n’ont pas tout perdu: l’équipe se prépare déjà pour le prochain tournoi et elle a suffisamment de temps pour bien s’entraîner.

L’équipe WASK, le deuxième représentant du Moyen-Orient et de l’Afrique du Nord et champion des quatrième et cinquième éditions de la « Free Fire Arab League » (FFAL), se dit ravie par sa participation au FFWS 2022 à Sentosa.

« Notre participation nous représente un test sur la scène mondiale. C’est une expérience unique en son genre car c’était la première fois que nous participions à une compétition qui réunissait toutes les équipes du monde sous un même toit, pendant 15 jours de préparation loin de chez nous« , a déclaré l’équipe citée dans le communiqué.

Ce fut une expérience unique pour l’équipe WASK, car elle a joué aux côtés des équipes les plus reconnues et les plus distinguées de par le monde, chacune montre sa propre façon tout en maintenant un haut niveau de professionnalisme et de discipline, précise la même source.

La finale des Free Fire World Series 2022 (FFWS) a été diffusée en direct. Une rediffusion du tournoi peut également être vue sur les pages Facebook officielles de Free Fire, YouTube, Facebook, Esports et la chaîne Booyah.

"
